,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
building_apotheosis_wiseguy,Press $0 to impart your wisdom into the spell,,,,,,,,,,,,,
building_apotheosis_calligraphy_desk,Press $0 dissect your books into pages,,,,,,,,,,,,,
biome_fungiforest_aprilfools,Wandmart,,,,,,,,,,,,,
tuonela_desc,"You can only win by Ascension, and can not visit parallel worlds.\n\n",,,,,,,,,,,,,
damage_apotheosis_blackhole_small,Micro Blackhole,,,,,,,,,,,,,
material_apotheosis_sweat,Sweat,,,,,,,,,,,,,
material_apotheosis_spirit_powder,Spirit Powder,,,,,,,,,,,,,
enemy_apotheosis_constellation_jellyfish,Tähdistö Meduusat,,,,,,,,,,,,DO NOT TRANSLATE,
spell_apotheosis_random_arc_name,Random Arc,,,,,,,,,,,,,
spell_apotheosis_random_arc_desc,Spray and Pray. Also has some magical properties...,,,,,,,,,,,,,
status_apotheosis_celestial_infection_name,"Celestial Infection %d",,,,,,,,,,,,,
status_apotheosis_celestial_infection_desc,"You've been infected by a celestial being.\nYou feel your heart is having trouble beating.",,,,,,,,,,,,,
book_apotheosis_jellyfish_hint_name,"Stargazer's Observations",,,,,,,,,,,,,
book_apotheosis_jellyfish_hint_desc,"I love watching the night sky, sometimes if I'm very lucky I can spot what looks like a constellation of jellyfish at night.\nUnlike other constellations I can't seem to outline their shape at day.\nI wish I could capture them in my journal, I feel like they'd bring my words to life.",,,,,,,,,,,,,
item_apotheosis_orb_jellyfish_pearl_name,Celestial Pearl,,,,,,,,,,,,,
item_apotheosis_orb_jellyfish_pearl_desc,"You can see smaller jellyfish floating within.",,,,,,,,,,,,,
item_apotheosis_chest_abyssal,Abyssal Chest,,,,,,,,,,,,,
perk_apotheosis_no_gold,Ceasement,,,,,,,,,,,,,
perk_apotheosis_no_gold_description,Enemies will no longer drop gold.,,,,,,,,,,,,,
perk_apotheosis_mimic,"Tinker with Wands everywhere...?",,,,,,,,,,,,,
perk_apotheosis_mimic_description,"Something feels off... Press [$0] to...?",,,,,,,,,,,,,
perk_apotheosis_mimic_description_progress,"Something feels off...",,,,,,,,,,,,,
perk_apotheosis_mimic_revealed,"Mimic Symbiosis",,,,,,,,,,,,,
perk_apotheosis_mimic_revealed_description,"A divine blessing allows you to tinker with wands, and your body, everywhere.\nPress [$0] to disguise.",,,,,,,,,,,,,
perk_apotheosis_mimic_tip,"Disguised",,,,,,,,,,,,,
perk_apotheosis_mimic_tip_desc,"Press [$0] to undisguise",,,,,,,,,,,,,